time,kapasite_faktoru
6245,0
6246,0
6247,0
6248,0
6249,0
6250,0
6251,0
6252,0.009302326
6253,0.114285712
6254,0.355102034
6255,0.608163253
6256,0.775510189
6257,1
6258,0.49999999
6259,0.865306106
6260,0.918367329
6261,0.744897945
6262,0.710204068
6263,0.422448971
6264,0.240816322
6265,0.065306121
6266,0.006122449
6267,0
6268,0
6269,0
6270,0
6271,0
6272,0
6273,0
6274,0
6275,0
6276,0.008527132
6277,0.039534883
6278,0.154263565
6279,0.209302324
6280,0.258139533
6281,0.317054261
6282,0.331782943
6283,0.333333331
6284,0.278294572
6285,0.145736433
6286,0.139534883
6287,0.159689921
6288,0.044186046
6289,0.031782946
6290,0.00620155
6291,0
6292,0
6293,0
6294,0
6295,0
6296,0
6297,0
6298,0
6299,0
6300,0.009302326
6301,0.068992248
6302,0.295348835
6303,0.553488368
6304,0.711627902
6305,0.841085265
6306,0.889147288
6307,0.786046506
6308,0.729457359
6309,0.738759684
6310,0.648837205
6311,0.518604647
6312,0.262790696
6313,0.078294573
6314,0.00620155
6315,0
6316,0
6317,0
6318,0
6319,0
6320,0
6321,0
6322,0
6323,0
6324,0.007751938
6325,0.093877549
6326,0.295918362
6327,0.516326521
6328,0.663265293
6329,0.68163264
6330,0.957142839
6331,0.744897945
6332,0.638775498
6333,0.420408155
6334,0.297959178
6335,0.259183668
6336,0.267346934
6337,0.057142856
6338,0.004081633
6339,0
6340,0
6341,0
6342,0
6343,0
6344,0
6345,0
6346,0
6347,0
6348,0.007751938
6349,0.089147286
6350,0.279844959
6351,0.527131779
6352,0.642635654
6353,0.816279064
6354,0.801550382
6355,0.71937984
6356,0.697674413
6357,0.693798444
6358,0.572868213
6359,0.213178293
6360,0.165306119
6361,0.112244896
6362,0.018367347
6363,0
6364,0
6365,0
6366,0
6367,0
6368,0
6369,0
6370,0
6371,0
6372,0.006976744
6373,0.041860465
6374,0.141860464
6375,0.213178293
6376,0.285271316
6377,0.327906974
6378,0.351937982
6379,0.336434106
6380,0.302325579
6381,0.306976742
6382,0.248062014
6383,0.172868216
6384,0.087596899
6385,0.023255814
6386,0.001550388
6387,0
6388,0
6389,0
6390,0
6391,0
6392,0
6393,0
6394,0
6395,0
6396,0.00620155
6397,0.084496123
6398,0.311627905
6399,0.487596896
6400,0.716279064
6401,0.85714284
6402,1
6403,0.795918352
6404,0.791836719
6405,0.728571414
6406,0.677551007
6407,0.383673462
6408,0.273469382
6409,0.032653061
6410,0.004081633
6411,0
6412,0
6413,0
6414,0
6415,0
6416,0
6417,0
6418,0
6419,0
6420,0.006976744
6421,0.076744185
6422,0.175193797
6423,0.606201546
6424,0.727131778
6425,0.782945731
6426,0.874418606
6427,0.817054258
6428,0.82170542
6429,0.761240304
6430,0.669767437
6431,0.442635656
6432,0.276744184
6433,0.065891472
6434,0.003100775
6435,0
6436,0
6437,0
6438,0
6439,0
6440,0
6441,0
6442,0
6443,0
6444,0.00620155
6445,0.085271317
6446,0.256589145
6447,0.420155036
6448,0.572093019
6449,0.66434108
6450,0.364341083
6451,0.350387594
6452,0.380620152
6453,0.555038756
6454,0.47829457
6455,0.280620153
6456,0.211627905
6457,0.06744186
6458,0.003875969
6459,0
6460,0
6461,0
6462,0
6463,0
6464,0
6465,0
6466,0
6467,0
6468,0.005426357
6469,0.07364341
6470,0.283720928
6471,0.43333333
6472,0.578294569
6473,0.575968988
6474,0.71395349
6475,0.615503871
6476,0.698449607
6477,0.542635655
6478,0.486821702
6479,0.344961238
6480,0.234108525
6481,0.077519379
6482,0.002325581
6483,0
6484,0
6485,0
6486,0
6487,0
6488,0
6489,0
6490,0
6491,0
6492,0.00620155
6493,0.075968992
6494,0.251937983
6495,0.413178292
6496,0.599224802
6497,0.638759685
6498,0.690697669
6499,0.705426351
6500,0.724031002
6501,0.748837204
6502,0.586821701
6503,0.489147283
6504,0.231782944
6505,0.093798449
6506,0
6507,0
6508,0
6509,0
6510,0
6511,0
6512,0
6513,0
6514,0
6515,0
6516,0.004651163
6517,0.082170542
6518,0.283720928
6519,0.515503872
6520,0.716279064
6521,0.797674413
6522,0.834108521
6523,0.897674419
6524,0.744897945
6525,0.893877534
6526,0.667346926
6527,0.436734685
6528,0.248979587
6529,0.040816326
6530,0.004081633
6531,0
6532,0
6533,0
6534,0
6535,0
6536,0
6537,0
6538,0
6539,0
6540,0.006976744
6541,0.080620154
6542,0.155813952
6543,0.465116276
6544,0.688372088
6545,0.81550387
6546,0.857364335
6547,0.90542635
6548,0.751937979
6549,0.536434105
6550,0.50077519
6551,0.441085268
6552,0.201550386
6553,0.064341085
6554,0.000775194
6555,0
6556,0
6557,0
6558,0
6559,0
